ISIN,Country,Region,Sector,Environment Score final,Environmental Impact Score final,Environmental CSR Score final,Environmental Impact Grade,Environmental CSR Grade,Entity Controversy Score,Controversy Involvement,Product Involvement - Defense (%),Product Involvement - Nuclear Energy (%),Product Involvement - Genetic Engineering (%),Product Involvement - Gambling (%),Product Involvement - Tobacco (%),Product Involvement - Alcohol (%),Product Involvement - Adult Entertainment (%),Coal mining,Crude oil (oil extraction),Crude petroleum & natural gas (oil & gas extraction),Natural gas (gas extraction),Drilling contractors (oil and gas wells),Petroleum refineries,Support activities for oil and gas operations,Lubricating oil & grease,Asphalt,Other fuel products from petroleum & coal,Wholesale of self-generated electric power from Coal,Wholesale of self-generated electric power from Gas,Wholesale of self-generated electric power from Oil,Retail of self-generated electric power from Coal,Retail of self-generated electric power from Gas,Retail of self-generated electric power from Oil,Business Activity Classification - Very negative (%),Business Activity Classification - Negative (%),Business Activity Classification - Medium/Neutral (%),Business Activity Classification - Positive (%),Business Activity Classification - Very positive (%),GHG Total tCO2eq (model or physical),Scope 1 tCO2eq (model or physical),Scope 2 tCO2eq (model),Scope3 upstream tCO2eq (model and/or physical),Scope3 downstream tCO2eq (model or physical),CIU Total tCO2eq/mUSD (model or physical),CIU Scope 1 tCO2eq/mUSD (model or physical),CIU Scope 2 tCO2eq/mUSD (model),CIU Scope 3 upstream tCO2eq/mUSD (model),CIU Scope 3 downstream tCO2eq/mUSD (model or physical)
US0844231029,United States,North America,Financial Services,53,52,53,B,B,0.014,low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.25,81.75,0.0,2674574.4069127184,256574.58024545436,103310.33328014654,705539.0998141192,1609150.3935729982,330.2381991329366,31.680078559247598,12.75605506658557,87.11515414874432,198.68691135835905
US0528001094,United States,North America,Transportation,43,28,71,C-,A-,0.0032,minimal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,7800263.461523166,153381.102757266,335933.28792238,2541089.2732095798,4769859.79763394,1047.3807585900001,20.595255090000002,45.1074587,341.2048867,640.4731581000001
JP3699400002,Japan,Asia-Pacific,Transportation,18,18,17,D+,D+,0.0,minimal,0.0,0.0,0.0,0.0,7.33,11.459999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.4,30.54,30.05,0.0,1842767.8707182242,705198.7359183122,22591.97367964524,224736.31002249886,890240.8510977679,802.1024752553768,306.95219979420443,9.83361946846025,97.82108393204653,387.4955720606656
USQ1700EAB85,Australia,Asia-Pacific,Housing,47,36,62,C+,B+,0.006,minimal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.3156225218081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.46,45.94,28.14,2.46,7378694.698626094,2769342.179228587,781951.8179453772,1969448.7761260741,1857951.9253260547,1937.6836993439974,727.2436952292092,205.34462438014774,517.1875170418756,487.90786269276487
AU000000BLD2,Australia,Asia-Pacific,Housing,47,36,62,C+,B+,0.006,minimal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.3156225218081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.46,45.94,28.14,2.46,7378694.698626094,2769342.179228587,781951.8179453772,1969448.7761260741,1857951.9253260547,1937.6836993439974,727.2436952292092,205.34462438014774,517.1875170418756,487.90786269276487
CNE000000JX9,China,Asia-Pacific,Housing,21,27,7,C-,D-,0.0,minimal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,62732.678101580095,8840.482671910264,2789.779947841757,42086.45434807442,9015.961133753653,554.9273319698001,78.20207284160001,24.6781293273,372.29279109730004,79.75433870359998
CZ0009093209,Czech Republic,Europe,Communication,52,58,41,B,C+,0.0011,minimal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.05,11.950000000000001,80.0,564343.4115692092,53333.497155398196,25698.732391601206,115008.4797154051,370302.7023068047,327.30420105004725,30.93201288044415,14.90458274341078,66.70186591274637,214.76573951344596
KW0EQ0100010,Kuwait,Middle East & North Africa,Financial Services,40,39,43,C+,C+,0.0,minimal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.64,4.36,0.0,1152830.4535962362,88264.48170601045,57285.586455997945,276654.7445449568,730625.6408892712,400.96192630766006,30.698960544448198,19.92429938280035,96.2223186842968,254.11634769611476
HK0008011667,Hong Kong (China),Asia-Pacific,Communication,52,57,42,B,C+,0.0,minimal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.64,28.48,67.87,1669702.2914672163,157273.44153142013,75750.85149677546,342553.6498579647,1094124.348581056,340.38867438663755,32.06206193324587,15.442712186726794,69.83363643766455,223.05026382900033
CNE100002524,China,Asia-Pacific,Nutrition,27,46,0,B-,D-,0.0,minimal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,674475.6804359716,36197.73433421718,47276.370112565004,457119.7502048412,133881.82578434813,779.63510197,41.84142604000001,54.64736343,528.3905905,154.75572199999996
