Ticker,Year,ESG Score,E Score,S Score,G Score,ESG Grade,E Grade,S Grade,G Grade,Company Name,Accumulated Other Comprehensive Income (Loss),Assets - Other,Accum Other Comp Inc - Other Adjustments,Accum Other Comp Inc - Unreal G/L Ret Int in Sec Assets,Assets and Liabilities - Other - Net Change,Accounts Payable - Trade,Assets - Total,Book Value Per Share,Capital Surplus/Share Premium Reserve,Capital Expenditures,Common/Ordinary Equity - Total,Common Equity - Liquidation Value,Common Equity - Tangible,Cash and Short-Term Investments,Cash and Cash Equivalents - Increase/(Decrease),Comprehensive Income - Total,Comp Inc - Beginning Net Income,Comprehensive Income - Noncontrolling Interest,Comp Inc - Other Adj,Comp Inc - Minimum Pension Adj,Comprehensive Income - Parent,Cost of Goods Sold,Common Shares Used to Calc Earnings Per Share - Fully Diluted,Common Shares Issued,Common Shares Outstanding,Common Shares Used to Calculate Earnings Per Share - Basic,Common/Ordinary Shareholders,Common/Ordinary Stock (Capital),Common Stock-Carrying Value,Common Stock Equivalents - Dollar Savings,Dilution Adjustment,Dilution Available - Excluding Extraordinary Items,Debt in Current Liabilities - Total,Long-Term Debt - Issuance,Long-Term Debt - Reduction,Long-Term Debt - Total,Discontinued Operations,Cash Dividends (Cash Flow),Dividends Common/Ordinary,Dividends - Preferred/Preference,Dividends - Total,Earnings Before Interest and Taxes,Employees,Earnings Per Share (Diluted) - Including Extraordinary Items,Earnings Per Share (Diluted) - Excluding Extraordinary Items,Earnings Per Share (Basic) - Including Extraordinary Items,Earnings Per Share (Basic) - Excluding Extraordinary Items,Common ESOP Obligation - Total,Preferred ESOP Obligation - Total,Exchange Rate Effect,Financing Activities - Other,Financing Activities - Net Cash Flow,Funds from Operations - Other,Gross Profit (Loss),Income Before Extraordinary Items,Income Before Extraordinary Items - Adjusted for Common Stock Equivalents,Income Before Extraordinary Items (Cash Flow),Income Before Extraordinary Items - Available for Common,Invested Capital - Total,Investing Activities - Other,Investing Activities - Net Cash Flow,Liabilities - Other - Total,Liabilities and Stockholders Equity - Total,Liabilities - Total,Noncontrolling Interest (Balance Sheet),Net Income (Loss),Net Income Adjusted for Common/Ordinary Stock (Capital) Equivalents,Nonoperating Income (Expense),Notes Payable - Short-Term Borrowings,Operating Activities - Net Cash Flow,Operating Income After Depreciation,Earnings Per Share from Operations,Earnings Per Share - Diluted - from Operations,Pretax Income,Nonred Pfd Shares Outs (000),Redeem Pfd Shares Outs (000),Preferred/Preference Stock (Capital) - Total,Preferred Stock - Liquidating Value,Preferred/Preference Stock - Nonredeemable,Preferred/Preference Stock - Redeemable,Preferred Stock - Redemption Value,Retained Earnings,Receivables - Total,Revenue - Total,Sales/Turnover (Net),Stockholders Equity - Parent,Special Items,Stock Compensation Expense,Stockholders Equity - Total,Treasury Stock - Total (All Capital),Treasury Stock - Common,Treasury Stock - Number of Common Shares,Treasury Stock - Preferrred,Excess Tax Benefit of Stock Options - Cash Flow Financing,Net Deferred Tax Asset (Liab) - Total,Income Taxes Paid,Income Taxes - Total,Extraordinary Items and Discontinued Operations,Extraordinary Items and Discontinued Operations (Cash Flow),Operating Expenses - Total,Stock Exchange Code,North America Industrial Classification System - Historical,Standard Industrial Classification - Historical,Common Shares Traded - Annual - Calendar,Dividends per Share - Pay Date - Calendar,Dividends per Share - Ex-Date - Calendar,Price Close - Annual - Calendar,Price High - Annual - Calendar,Price Low - Annual - Calendar,Cumulative Adjustment Factor by Ex-Date - Calendar,Common Shares Traded - Annual - Fiscal,Dividends per Share - Pay Date - Fiscal,Dividends per Share - Ex-Date - Fiscal,Price Close - Annual - Fiscal,Price High - Annual - Fiscal,Price Low - Annual - Fiscal,GIC Groups,GIC Industries,GIC Sectors,GIC Sub-Industries,North American Industry Classification Code
AAL,2015,70.38165852,58.46912521,78.39261134,71.69154239,B+,B,A-,B+,AMERICAN AIRLINES GROUP INC,-4732,4580,-880,0,-705,1563,48415,9.0215,11591,6151,5635,5635,-705,6949,-604,7437,7610,0,0,-159,7437,25416,687.355,624.622,624.622,668.393,11.546,6,0.01,0,0,7610,2231,5009,2153,18330,0,278,278,0,278,7284,118.5,11.07,11.07,11.39,11.39,0,0,0,9,-1259,224,15574,7610,7610,7610,7610,23965,0,-5594,10845,48415,42780,0,7610,7610,-62,0,6249,7284,9.38,9.12,4616,0,0,0,0,0,0,0,-5962,1425,40990,40990,5635,-1674,284,5635,0,0,0,0,0,2477,20,-2994,0,0,32099,14,481111,4512,2905809743,0.4,0.4,42.35,56.2,34.1,1,2905809743,0.4,0.4,42.35,56.2,34.1,2030,203020,20,20302010,4512
AAL,2016,70.50001974,58.71212121,74.09985764,78.16694678,B+,B,B+,A-,AMERICAN AIRLINES GROUP INC,-5083,3527,-677,0,139,1592,51274,7.4612,7223,5731,3785,3785,-2479,6997,-68,2325,2676,0,0,-358,2325,25695,556.099,507.294,507.294,552.308,11.356,5,0.01,0,0,2676,1855,7701,3827,22489,0,224,224,0,224,6007,122.3,4.81,4.81,4.85,4.85,0,0,0,-44,-894,133,14485,2676,2676,2676,2676,26274,2,-5698,11117,51274,47489,0,2676,2676,100,0,6524,6007,5.75,5.71,4299,0,0,0,0,0,0,0,-3443,1594,40180,40180,3785,-772,102,3785,0,0,0,0,0,1487,16,1623,0,0,32347,14,481111,4512,2308466166,0.4,0.4,46.69,50.64,24.85,1,2308466166,0.4,0.4,46.69,50.64,24.85,2030,203020,20,20302010,4512
AAL,2017,71.97883072,61.50393997,72.40697782,82.87088285,B+,B,B+,A-,AMERICAN AIRLINES GROUP INC,-5154,1800,-630,0,-233,1688,51396,8.2564,5714,5971,3926,3926,-2368,5384,-27,1848,1919,0,0,-70,1848,28262,491.692,475.508,475.508,489.164,10.921,5,0.01,0,0,1919,2554,3058,2332,22511,0,198,198,0,198,4792,126.6,3.9,3.9,3.92,3.92,0,0,0,-58,-1145,-209,13945,1919,1919,1919,1919,26437,0,-3626,9962,51396,47470,0,1919,1919,128,0,4744,4792,4.9,4.88,3084,0,0,0,0,0,0,0,-1793,1752,42207,42207,3926,-734,90,3926,0,0,0,0,0,394,20,1165,0,0,35398,14,481111,4512,1471495041,0.4,0.4,52.03,54.48,39.21,1,1471495041,0.4,0.4,52.03,54.48,39.21,2030,203020,20,20302010,4512
AAL,2018,69.39333655,58.66214031,72.79060022,76.19612535,B+,B,B+,A-,AMERICAN AIRLINES GROUP INC,-5274,2277,-596,0,-166,1773,60580,-0.3669,4964,3745,-169,-169,-6397,4914,-112,1292,1412,0,0,-117,1292,31365,465.66,460.611,460.611,464.236,13.685,5,0.01,0,0,1412,4948,2354,2941,29081,0,186,188,0,188,3449,128.9,3.03,3.03,3.04,3.04,0,0,0,-62,-1672,-387,13176,1412,1412,1412,1412,28912,-7,-1973,13562,60580,60749,0,1412,1412,293,0,3533,3449,4.45,4.43,1884,0,0,0,0,0,0,0,-5138,1706,44541,44541,-169,-802,88,-169,0,0,0,0,0,1135,18,472,0,0,38935,14,481111,4512,1717378368,0.4,0.4,32.11,59.08,29.59,1,1717378368,0.4,0.4,32.11,59.08,29.59,2030,203020,20,20302010,4512
AAL,2019,69.1655171,57.03615327,69.12734821,82.5640104,B+,B-,B+,A-,AMERICAN AIRLINES GROUP INC,-6331,1678,-1091,0,-37,2062,59995,-0.2756,3945,4268,-118,-118,-6293,3984,4,1251,1686,0,0,-438,1251,32027,444.269,428.203,428.203,443.363,12.995,4,0.01,0,0,1686,4569,3960,4190,28875,0,178,180,0,180,3706,133.7,3.79,3.79,3.8,3.8,0,0,0,-63,-1568,-1000,13741,1686,1686,1686,1686,28757,164,-2243,12898,59995,60113,0,1686,1686,81,0,3815,3706,4.58,4.57,2256,0,0,0,0,0,0,0,-4067,1750,45768,45768,-118,-436,95,-118,0,0,0,0,0,616,8,570,0,0,39744,14,481111,4512,1757679604,0.4,0.4,28.68,37.23,24.23,1,1757679604,0.4,0.4,28.68,37.23,24.23,2030,203020,20,20302010,4512
AAL,2020,60.6898853,53.59480183,63.82749326,63.87522097,B,B-,B,B,AMERICAN AIRLINES GROUP INC,-7103,4894,-865,0,1314,1196,62008,-11.0494,6894,1958,-6867,-6867,-12987,7473,109,-9657,-8885,0,0,-772,-9657,22290,483.888,621.48,621.48,483.888,12.527,6,0.01,0,0,-8885,4448,11780,3535,36573,0,43,43,0,43,-11387,102.7,-18.36,-18.36,-18.36,-18.36,0,0,0,-5,10994,1409,-4953,-8885,-8885,-8885,-8885,29706,-63,-4342,15724,62008,68875,0,-8885,-8885,195,0,-6543,-11387,-19.88,-19.88,-11453,0,0,0,0,0,0,0,-13767,1342,17337,17337,-6867,966,91,-6867,0,0,0,0,0,3230,6,-2568,0,0,26359,14,481111,4512,17134104633,0.1,0.1,15.77,30.78,8.25,1,17134104633,0.1,0.1,15.77,30.78,8.25,2030,203020,20,20302010,4512
AAL,2021,67.73063061,56.09736836,64.6701157,85.03297714,B+,B-,B,A,AMERICAN AIRLINES GROUP INC,-5942,5426,-1204,0,1131,1772,66467,-11.3319,7234,412,-7340,-7340,-13419,13421,9,-832,-1993,0,0,1161,-832,27969,644.015,647.728,647.728,644.015,13,6,0.01,0,0,-1993,3996,12190,7343,42181,0,0,0,0,0,-5514,123.4,-3.09,-3.09,-3.09,-3.09,0,0,0,-1,5288,-349,1913,-1993,-1993,-1993,-1993,34841,10,-5983,12611,66467,73807,0,-1993,-1993,340,0,704,-5514,-8.52,-8.52,-2548,0,0,0,0,0,0,0,-14580,1505,29882,29882,-7340,4426,98,-7340,0,0,0,0,0,3547,3,-555,0,0,33061,14,481111,4512,9607454170,0,0,17.96,26.09,14.71,1,9607454170,0,0,17.96,26.09,14.71,2030,203020,20,20302010,4512
PNW,2014,61.61713397,67.83100742,64.07601802,47.85699984,B,B+,B,C+,PINNACLE WEST CAPITAL CORP,-68.141,1431.901,0,0,63.834,295.211,14313.532,39.4994,0,926.091,4367.493,4367.493,4367.493,7.604,-1.922,433.608,423.696,26.101,0,-2.761,407.507,2263.032,111.178,110.65,110.571,110.626,21.649,2512.97,22.71,0,0,397.595,530.97,731.126,652.578,3031.215,0,246.671,256.803,0,256.803,811.242,6.366,3.58,3.58,3.59,3.59,0,0,0,-20.321,-178.881,-16.621,1228.6,397.595,397.595,423.696,397.595,7550.317,20.672,-922.668,2442.829,14313.532,9794.43,0,397.595,397.595,25.723,147.4,1099.627,811.242,3.54,3.53,644.401,0,0,0,0,0,0,0,1857.924,395.179,3491.632,3491.632,4367.493,8.386,33,4519.102,3.401,3.401,0.079,0,0,-2460.404,-102.154,220.705,0,0,2263.032,11,2211,4911,231263848,2.2975,2.2975,68.31,71.11,51.15,1,231263848,2.2975,2.2975,68.31,71.11,51.15,5510,551010,55,55101010,4911
PNW,2015,68.7852345,68.76325565,70.53776369,66.54431059,B+,B+,B+,B,PINNACLE WEST CAPITAL CORP,-44.748,1593.602,0,0,-83.7,297.48,15028.258,41.304,0,1092.346,4583.917,4583.917,4583.917,39.488,31.884,479.583,456.19,18.933,0,20.163,460.65,2146.419,111.552,111.095,110.98,111.026,20.57,2541.668,22.88,0,0,437.257,357.58,842.415,415.57,3462.391,0,260.027,270.519,0,270.519,854.602,6.407,3.92,3.92,3.94,3.94,0,0,0,-35.001,3.79,-18.982,1349.024,437.257,437.257,456.19,437.257,8181.848,43.362,-1066.233,2493.588,15028.258,10308.801,0,437.257,437.257,34.272,0,1094.327,854.602,3.94,3.92,693.91,0,0,0,0,0,0,0,2048.055,367.806,3495.443,3495.443,4583.917,0,19,4719.457,5.806,5.806,0.115,0,0,-2723.425,6.55,237.72,0,0,2146.419,11,2211,4911,226486358,2.41,2.41,64.48,73.31,56.01,1,226486358,2.41,2.41,64.48,73.31,56.01,5510,551010,55,55101010,4911
PNW,2016,58.99348522,61.94190452,56.89530221,56.7088103,B,B,B-,B-,PINNACLE WEST CAPITAL CORP,-43.822,1688.172,0,0,-104.683,264.631,16004.253,43.1449,0,1295.442,4803.622,4803.622,4713.6,8.881,-30.607,462.453,461.527,19.493,0,-1.477,442.96,2156.869,112.046,111.392,111.337,111.409,19.581,2596.03,23.31,0,0,442.034,302.2,693.151,370.43,4021.785,0,274.229,284.765,0,284.765,855.984,6.339,3.95,3.95,3.97,3.97,0,0,0,-22.744,198.081,-45.811,1341.813,442.034,442.034,461.527,442.034,8957.697,45.645,-1252.078,2598.216,16004.253,11068.341,0,442.034,442.034,47.674,177.2,1023.39,855.984,3.97,3.95,697.938,0,0,0,0,0,0,0,2211.725,355.403,3498.682,3498.682,4803.622,0,18.883,4935.912,4.133,4.133,0.055,0,0,-2945.232,9.956,236.411,0,0,2156.869,11,2211,4911,200578643,2.53,2.53,78.03,82.78,62.51,1,200578643,2.53,2.53,78.03,82.78,62.51,5510,551010,55,55101010,4911
